"","topic1sent1","topic1sent2","topic1sent3","topic2sent1","topic2sent2","topic2sent3","topic3sent1","topic3sent2","topic3sent3","topic4sent1","topic4sent2","topic4sent3","topic5sent1","topic5sent2","topic5sent3","topic6sent1","topic6sent2","topic6sent3","topic7sent1","topic7sent2","topic7sent3","topic8sent1","topic8sent2","topic8sent3","topic9sent1","topic9sent2","topic9sent3","topic10sent1","topic10sent2","topic10sent3"
"1","climat","ocean","water","ipcc","develop","parti","job","food","trump","emiss","day","climat","climat","energi","coal","record","energi","oil","live","natur","industri","fuel","climat","forest","energi","citi","pipelin","electr","chevron","speci"
"2","action","sea","air","climatechang","sustain","pass","offr","wast","epa","reduc","check","govern","chang","clean","plant","weather","carbon","drill","event","thegef","oil","fossil","action","indigen","renew","mayor","nokxl","busi","stem","endang"
"3","cop21","fish","pollut","report","countri","contact","offer","pesticid","pruitt","carbon","share","ecolog","climat_chang","clean_energi","power","extrem","low","arctic","watch","biodiv","public","fossil_fuel","crisi","right","solar","climat","sand","vehicl","mt","wildlif"
"4","parisagr","ice","clean","climat","climat","send","job_offer","plastic","environ","gas","photo","extinctionrebellion","fight","effici","carbon","climatechang","low_carbon","nation","question","environ","fuel","climat","justic","human","power","c40","keyston","re100","career","world"
"5","climat_action","plastic","health","ar5","environ","dm","pari","system","administr","co2","video","climat_ecolog","action","renew","pollut","climat","oil","gas","follow","sustain","fossil","divest","climat_crisi","environ","wind","cities4clim","tar","compani","site","protect"
"6","climateact","marin","air_pollut","event","financ","station","stage","bee","health","greenhous","stori","rebellion","fight_climat","job","time","temperatur","gas","trump","climat","forest","fossil_fuel","bank","world","deforest","renew_energi","sustain","tar_sand","ev","job","save"
"7","pari","arctic","drink","global","support","attent","demploi","toxic","scott","greenhous_gas","support","action","impact","invest","stop","flood","futur","oil_gas","start","conserv","land","invest","fight","peopl","world","action","xl","renew","support","eleph"
"8","agreement","climatechang","drink_water","scienc","climateact","pass_parti","offr_demploi","product","public","cut","world","london","fight_climat_chang","energi_effici","nuclear","global","bp","spill","confer","ecosystem","trump","world","climat_action","land","electr","futur","keyston_xl","car","engin","conserv"
"9","global","rise","environ","warm","climatechang","locat","internship","environ","scott_pruitt","gas_emiss","love","emerg","tackl","save","mine","heat","world","offshor","twitter","protect","pollut","fund","leader","amazon","solar_power","world","oil","ev100","team","extinct"
"10","leader","world","clean_air","meet","project","bring","le","chemic","trump_administr","greenhous_gas_emiss","celebr","uk","world","economi","energi","storm","shell","park","tune","land","fuel_industri","stop","global","world","largest","green","nodapl","energi","student","tiger"
"11","world","level","qualiti","relea","green","email","des","recycl","nrdc","co2_emiss","win","pm","tackl_climat","transit","power_plant","hurrican","product","monument","day","water","fossil_fuel_industri","compani","movement","indigen_peopl","india","build","keystonexl","electr_vehicl","total","trade"
"12","countri","coral","public","special","global","bring_attent","hf","food_system","american","makethingsbett","earth","inact","address","creat","sign","rise","technolog","shell","week","project","environ","financ","futur","communiti","generat","urban","stand","sustain","open","endang_speci"
"13","busi","reef","lead","read","fund","station_locat","engin","stop","protect","carbon_emiss","inspir","rebel","citi","green","world","impact","invest","plan","energi","restor","gas","time","environ","stop","project","women4clim","stop","commit","conocophillip","act"
"14","govern","life","clean_water","wmo","thegef","detail","mention","farmer","firepruitt","global","happi","time","solut","renew_energi","plan","drought","busi","oil_spill","tomorrow","manag","public_land","oil","time","human_right","china","climat_action","obama","charg","program","iucn"
"15","commit","pollut","epa","environ","invest","info","retweet","farm","senat","reduc_emiss","week","extinct","report","futur","tree","extrem_weather","ceo","coast","webcast","communiti","health","project","demand","fight","coal","global","presid","transport","employ","rhino"
"16","goal","melt","safe","author","develop_countri","team","pour","reduc","congress","ghg","award","act","time","light","carbon_pollut","warm","global","stop","unfccc","support","corpor","coal","climat_justic","compani","invest","leader","fight","power","proud","wild"
"17","plan","warm","citi","confer","sector","inform","assist","produc","presid","fuel","friend","declar","global","million","climat","wmo","natur","nation_park","answer","climatechang","communiti","billion","youth","destruct","capac","yciti","climat","climateweeknyc","bhp","illeg"
"18","ambit","water","million","global_warm","polici","site","total","ban","scienc","car","environ","planet","threat","build","start","warn","chevron","ocean","debat","global","climat","crisi","activist","fire","100_renew","solut","vote","uk","career_site","habitat"
"19","meet","scientist","communiti","press","build","attent_pass","manag","pollin","pollut","reduct","tweet","world","effect","report","question","risk","demand","administr","climateweeknyc","food","stop","fossilfr","take","stand","re100","lead","reject","drive","educ","anim"
"20","climatechang","sea_level","toxic","chair","unep","bring_attent_pass","senior","sustain","time","climat","vote","support","adapt","billion","readi","forecast","growth","gulf","tweet","resourc","tax","money","march","destroy","instal","pari","action","read","women","threaten"
